_id,age,Aggregated_Date,BMNH,By Catch,CBRU,Comb_other_ref,Comment,Common Name ,Condition,Count,Country Code,County,Date,Day_val,Entered,Fam_Genus,GRef Source,Grid ref,in Collections,JBaker,Latitude,Length Approx,Length et,Length Imp,Length Imp_,Length_Approx,Length_Met,lett,Location,Longitude,Mass_Single,MCS,Month_val,Old County,Other,Other refs,Rect_CoNAord_,Rep_Source,S_W_No,S_W_No_,Scientific Name ,Scientific name ,sequ,Sex,Spec_No,Spec_No_,species,Updated,year,Year_val
7277,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3854,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2018,,melaena,23-Dec-08,1950,1950
7302,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3879,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2043,,melaena,23-Dec-08,1950,1950
6996,NA,19470526,ZK0074,NA,NA,NA,Risso's Dolphin,Risso's dolphin,NA,1030,2,"Shetland Islands, Scotland",26/05/1947,26,02-Nov-90,Grampus,NA,HU208788,NA,NA,60.4926,No,2.44,8',,,,NA,Eshaness,-1.6228,S,ZK0074,5,NA,NA,NA,NA,NA,1947/10,,Grampus griseus,,10,NA,1737,,griseus,23-Dec-08,1947,1947
7323,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3900,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2064,,melaena,23-Dec-08,1950,1950
8192,NA,19710810,ZK0132,NA,NA,NA,Lesser Rorqual,Minke whale,decayed,448,2,"Caithness, Scotland",10/08/1971,10,02-Nov-90,Balaenoptera,NA,ND37005000,blade baleen,NA,58.43411008,No,4.55,14'11'',,,,NA,Wick,-3.079046141,S,ZK0132,8,NA,NA,NA,33700095000,NA,1971/12,,Balaenoptera acutorostrata,,12,NA,2933,,acutorostrata,23-Dec-08,1971,1971
7280,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3857,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2021,,melaena,23-Dec-08,1950,1950
8195,NA,19710910,ZK0085,NA,NA,NA,Common Porpoise,Harbour porpoise,decayed,2418,2,"Aberdeenshire, Scotland",10/09/1971,10,02-Nov-90,Phocoena,NA,NK03012800,NA,NA,57.34271159,NA,NA,NA,,,,NA,Collieston,-1.949985477,M,ZK0085,9,NA,NA,NA,40301082800,NA,1971/15,,Phocoena phocoena,,15,NA,2936,,phocoena,23-Dec-08,1971,1971
6998,NA,19470618,ZK0127,NA,NA,NA,Unidentified Odontocetes,Unknown odontocete  ,decayed,1674,1,Sussex,18/06/1947,18,02-Nov-90,odontocete,NA,TQ802087,NA,NA,50.8505,NA,NA,NA,,,,NA,St Leonards on Sea,0.5589,S,ZK0040,6,NA,NA,NA,NA,NA,1947/12,,Unknown odontocete ,,12,NA,1739,,sp.indet.,23-Dec-08,1947,1947
7327,NA,19500516,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,1173,2,"Fifeshire, Scotland",16/05/1950,16,02-Nov-90,Globicephala,NA,NO638099,NA,NA,56.2807,No,3.05,10'0'',,,,NA,Fifeness,-2.5858,S,ZK0079,5,NA,NA,NA,NA,NA,1950/8,,Globicephala melas,,8,M,2068,,melaena,23-Dec-08,1950,1950
8193,NA,19710830,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,alive,1254,2,"Fifeshire, Scotland",30/08/1971,30,02-Nov-90,Globicephala,NA,NO61010700,NA,NA,56.2539865,No,5.84,19'2'',,,,NA,"Sauchope Caravan Site, E. of Crail",-2.629361349,S,ZK0079,8,NA,NA,NA,36101070700,NA,1971/13,,Globicephala melas,,13,M,2934,,melaena,23-Dec-08,1971,1971
